dealer_id,name,city,state,zipcode,phone_number,open_date
63632,"Simon, Howell and Rodriguez",Robertsonmouth,VI,37415,001-904-678-1761x2396,2000-02-07
42259,Kim-Baker,East Danielle,OH,76239,543.499.8074x46214,
82417,Hayes-Evans,North Keith,WY,71090,454-476-0817x642,2014-12-07
95084,Parks Group,Emilybury,NJ,05570,218-240-3702,2005-03-07
27372,"Moore, Elliott and Jackson",New Donnachester,NV,62796,001-428-241-7453x882,2005-11-07
61018,Dyer-Williams,Harrisville,LA,10191,001-296-474-7405x001,2005-01-07
93527,Johnson LLC,Port Carriehaven,MA,88046,272.803.3767,2001-12-02
31276,Chen-Skinner,Ericport,MO,54227,441-200-6058x859,2011-01-12
39207,Roberts-Shaffer,Harrishaven,HI,00938,001-867-488-6531x0109,2002-05-16
04705,Moore Ltd,North Jasonmouth,OR,54746,+1-790-943-0700,2000-02-05
49364,Walker LLC,Mayerberg,WI,34386,955.741.7863x90828,2000-05-31
86667,Snyder-Barr,Port Mary,PW,27789,001-497-484-9851x45544,2003-10-30
43480,Mercado PLC,Shaneland,PA,67823,764.757.5438x3913,2021-09-10
31856,"Duran, Banks and Duncan",Carmenland,SD,74343,2024234525,2002-04-11
70015,Wilson Inc,Millerport,MH,88470,212-229-6144,2023-11-17
91741,"Jackson, Hall and Rosario",East Loribury,NM,19740,224.246.2231,2014-11-26
41946,Jefferson PLC,Comptonport,MS,62790,794.596.9118x234,2016-07-25
94665,Nichols-Marshall,Jacobsside,VA,83800,+1-485-428-3589x74039,2012-01-26
17837,Jenkins-Thomas,Josephborough,MT,41161,(900)742-5796x554,2001-06-12
77811,Donovan Group,Thomasberg,WA,41777,(438)681-7254x6243,2016-02-11
38019,Blake and Sons,Ericaton,FM,09211,(444)339-6036x496,
08782,Martinez Inc,Camachobury,OK,85121,001-661-327-0076x631,2007-05-31
04571,"Peters, Rivera and Booth",South Scott,FM,08982,698.890.2732x2639,2002-03-30
12048,White-Powers,North Tamaramouth,RI,69437,+1-510-612-3916x45803,2013-06-12
52910,Mcmahon-Nelson,Williamfort,NC,91000,(340)503-4306x238,2022-05-30
27651,Reeves LLC,East Danielport,ID,96282,+1-687-793-2833,2002-07-21
01013,Velez PLC,Hillview,MN,04031,001-927-786-7443x63174,2006-05-07
51759,"Jackson, Peters and Webb",Carolhaven,CO,89142,302.353.9834x3662,2009-09-13
27106,"Johnson, Cowan and Sampson",South Elizabethborough,TX,21389,(474)571-0478x7688,2019-12-07
99544,Steele and Sons,Crystalview,WY,21503,926-622-1339x88689,2010-04-05
57649,Tran-Phillips,Leemouth,MS,33581,434.959.1213,2020-03-19
08119,Wallace Inc,Martinezborough,UT,26448,293.649.2787x3190,2016-07-22
87524,"Turner, King and Berg",North Joemouth,MS,49055,(631)279-2728x4228,
46791,Davis PLC,North Ronaldland,VT,51098,+1-511-685-3067x43026,2003-07-18
55313,Mcdonald LLC,Espinozaton,TX,17603,001-816-984-0683x1213,2004-10-14
48816,Poole Inc,New Kellyburgh,GA,00692,(552)521-1044,2007-02-28
76724,Combs-Kim,Macdonaldshire,KS,53553,800-557-5563,2022-01-29
21066,Smith-Costa,North Jeffreyfurt,NH,28537,810.288.7058x7164,
53573,Ramirez LLC,Port Derek,DC,54258,(487)732-0409,2017-08-03
36682,Charles-Peters,Port Laurafort,MT,47720,517-727-4827,2017-04-13
12803,Leon PLC,Moorefort,MH,88303,(681)676-8875,2017-08-13
60788,Davis PLC,Anthonyburgh,KS,60013,(902)891-7271x8507,2002-07-05
90723,"Dixon, Stevens and Hernandez",New Kathryn,FM,76204,712.235.9558,2015-04-06
81110,"Velazquez, Odom and Reyes",East Jameston,NH,07368,001-617-790-8870x76555,2006-06-05
43041,"Williams, Hernandez and Wells",Lake Jenniferhaven,KY,99473,320-556-2283,2011-06-24
48709,"Smith, Espinoza and Schmitt",Jamesborough,GA,13617,960.466.2562x554,
97186,"Tucker, Gray and Smith",North Williamshire,KS,75219,+1-701-826-3996x021,2018-06-07
71209,"Petersen, Becker and Shelton",New Melissa,MP,20075,(805)380-4833x619,2020-03-29
